Day,Date,A,B,C,D,Drinks
Wednesday,2018-11-28,Oriental fried rice with sous vide egg,Pancakes with maple/chocolate,Fish burger,Sandwich selection,Coffee
Thursday,2018-11-29,Fried lo she fun w sides,Tau Huey Set,Baked teriyaki chicken puff,Sandwich selection,Soya bean
Friday,2018-11-30,Chicken ham fried rice,Oyster chicken and lotus paste pau,Waffles,Sandwich selection,Milo
Saturday,2018-12-01,Fried laksa noodles w sides,Chee Cheong Fun,,,Tea
Monday,2018-12-03,Fried brown bee hoon with sides,Soft boiled eggs set,Waffles,Sandwich selection,Soya bean
Tuesday,2018-12-04,Pancakes with maple/chocolate,Chicken mince porridge w sides,Waffles,Sandwich selection,Milo
Wednesday,2018-12-05,Chicken sausage with sous vide egg,Roti prata with curry,Fish burger,Sandwich selection,Coffee
Thursday,2018-12-06,Penang kway teow with sides,Tau Huey Set,Chwee kueh,Sandwich selection,Soya bean
Friday,2018-12-07,Crabstick fried rice w sides,Baked chicken pie,Waffles,Sandwich selection,Milo
Saturday,2018-12-08,Loh Mai Gai,Mash potato with chicken sausage,,,Tea
