Day,Date,,,,,,,,,,,,,,
Wednesday,2018-08-29,Spaghetti Aglio Olio,Olive Fried Rice,Dory fish with lemon cream sauce,Fried Chicken Thigh,Potato wedges,Baked cauliflower with cheese,Salted mix mushroom with onion,BBQ cocktail sausage,Beancurd Skin with Barley,,,,,
Thursday,2018-08-30,Seaweed soup,Bitter gourd black bean chicken,Mutton Curry with potato,Steam fish with garlic chili flake,Onion fried egg,Baked bean with potato,Fish ngoh hiang,Spinach chef stock,Roasted mix vegetable,Stir fried long bean,Red Apple,,,
Friday,2018-08-31,Wintermelon soup, Chicken with golden egg yolk powder,Sambal Shrimp Meat,Char Siew fish,Egg Sambal with Onion & Tomato,Hon siew beancurd,Breaded scallop cake,Stir fried teow chow pek,Kai lan oyster sauce,Stir fried cabbage, Chocolate Cream Puff / Beancurd skin with barley,,,
Sunday,2018-09-02,Glass noodles w beancurd stick,Shrimp paste chicekn wing,Taucu fish fillet,Chicken stew with potato,Honey fish ball,Salt & pepper beancurd,Seaweed chicken,Broccoli with mushroom,Brinjal with dried shrimp,Siew pack choy w oyster sauce,Milo Jelly,,,
Monday,2018-09-03,Fish Ball Sawi Soup,Taucu Fish Fillet,Herbal Chicken Drumstick,Black Bean Steam Chicken,Steam Egg with Crab Meat Stick,Beancurd with Thai Sauce,Durama Spring Roll,Lo Han Vegetable,Teow Chow Pek with Oyster,Long Bean with Garlic,Papaya,,,
Tuesday,2018-09-04,Pandan Nasi Lemak,Sambal Shrimp Meat with Onion,Deep Fried Chicken Drumlet,Hard Boil Egg & Alchar,Penang Prawn Mee Soup,De-shell prawn & Fish cake,Hard Boil Egg & Beansprout,Kangkong,,,,,,
Wednesday,2018-09-05,Roasted Baby Chicken (1/2 Portion),Breaded fish cutlet,Potato Wedges w Nacho Cheese,Broccoli with Lemon Butter Cream,Breaded Onion Ring,Corn on Cob,Green Apple,,,,,,,
Thursday,2018-09-06,Sweet corn with crab stick,Fish Fillet With Spring Onion,Braised Chicken with Sesame,Black Pepper Beef,Deep Fried Prawn Ball,Sweet & Sour Potato,Ku Chai Fried Egg,French Bean with Dry Shrimp,Sawi with Oyster Sauce,Nonya Chap Chai,Honeydew,,,
Friday,2018-09-07,Long Cagbbage Soup,Sambal Baked Fish Fillet,Teriyaki Chicken,Ginger Chicken,Black Pepper Sausage,Deep Fried Spring Roll,Steam Beancurd with Salted Egg,Stir Fried Beansprout,Broccoli with Mix Mushroom,Siew Pak Choy with Garlic,Pengat Pisang,,,
Sunday,2018-09-09,Glass noodles w beancurd stick,Honey baked chicken wing,Lemon Butter Fish,Braised Chicken w Sze Chuan Vege,Cheese taufu,Fish nuggets,Stir fried potato with spring onion,Broccoli with mushroom,Teow chow pek with oyster sauce,Sambal goreng,Milo Jelly,,,
Monday,2018-09-10,Fish ball tang hoon soup,Deep fried chicken wings,Black bean steam chicken,Fish Fillet with oyster sauce,Teriyaki sotong ball,Deep fried wantan,Black pepper chicken sausage,Nyonya chap chai,Cauliflower w crab stick sauce,Stir fried long bean,Red apple,,,
Tuesday,2018-09-11,Steam JPN rice,Teppanyaki Beef,Seaweed chicken,Mix vege JPN style,"Mee siam wTaupok, & Gravy",De-shell prawn ,Fish cake,Hard boil egg,Nasi Briyani,Mutton curry with potato,Hard boil egg,Deep fried cauliflower,Papadum,Mango Pudding
